                                          0                     Reserved
tcpmux                                    1                     TCP Port Service Multiplexer
compressnet                               2                     Management Utility
compressnet                               3                     Compression Process
rje                                       5                     Remote Job Entry
echo                                      7                     Echo
discard                                   9                     Discard
systat                                    11                    Active Users
#unitary                                  12                    Unisys Unitary Login
#unitary                                  12                    Unisys Unitary Login
daytime                                   13                    Daytime (RFC 867)
qotd                                      17                    Quote of the Day
msp                                       18                    Message Send Protocol
chargen                                   19                    Character Generator
ftp-data                                  20                    File Transfer [Default Data]
ftp                                       21                    File Transfer [Control]
ssh                                       22                    SSH Remote Login Protocol
telnet                                    23                    Telnet
                                          24                    any private mail system
smtp                                      25                    Simple Mail Transfer
nsw-fe                                    27                    NSW User System FE
msg-icp                                   29                    MSG ICP
msg-auth                                  31                    MSG Authentication
dsp                                       33                    Display Support Protocol
                                          35                    any private printer server
time                                      37                    Time
rap                                       38                    Route Access Protocol
rlp                                       39                    Resource Location Protocol
graphics                                  41                    Graphics
name                                      42                    Host Name Server
nameserver                                42                    Host Name Server
nicname                                   43                    Who Is
mpm-flags                                 44                    MPM FLAGS Protocol
mpm                                       45                    Message Processing Module [recv]
mpm-snd                                   46                    MPM [default send]
ni-ftp                                    47                    NI FTP
auditd                                    48                    Digital Audit Daemon
tacacs                                    49                    Login Host Protocol (TACACS)
re-mail-ck                                50                    Remote Mail Checking Protocol
la-maint                                  51                    IMP Logical Address Maintenance
xns-time                                  52                    XNS Time Protocol
domain                                    53                    Domain Name Server
xns-ch                                    54                    XNS Clearinghouse
isi-gl                                    55                    ISI Graphics Language
xns-auth                                  56                    XNS Authentication
                                          57                    any private terminal access
xns-mail                                  58                    XNS Mail
                                          59                    any private file service
                                          60                    Unassigned
ni-mail                                   61                    NI MAIL
acas                                      62                    ACA Services
whois++                                   63                    whois++
covia                                     64                    Communications Integrator (CI)
tacacs-ds                                 65                    TACACS-Database Service
sql*net                                   66                    Oracle SQL*NET
bootps                                    67                    Bootstrap Protocol Server
bootpc                                    68                    Bootstrap Protocol Client
tftp                                      69                    Trivial File Transfer
gopher                                    70                    Gopher
netrjs-1                                  71                    Remote Job Service
netrjs-2                                  72                    Remote Job Service
netrjs-3                                  73                    Remote Job Service
netrjs-4                                  74                    Remote Job Service
                                          75                    any private dial out service
deos                                      76                    Distributed External Object Store
                                          77                    any private RJE service
vettcp                                    78                    vettcp
finger                                    79                    Finger
http                                      80                    World Wide Web HTTP
www                                       80                    World Wide Web HTTP
www-http                                  80                    World Wide Web HTTP
hosts2-ns                                 81                    HOSTS2 Name Server
xfer                                      82                    XFER Utility
mit-ml-dev                                83                    MIT ML Device
